name,registration_number
@NGELIC,PS20190001766
18 KARAATS LLP,PS20190001785
1ST GRAND PALACE PTE. LTD.,PS20190001233
1ST JEWELLERY & WATCHES PTE. LTD.,PS20190000264
1ST JEWELLERY (CITY PLAZA) PTE. LTD.,PS20190000261
1ST JEWELLERY (FU LU SHOU) PTE. LTD.,PS20190000151
1ST JEWELLERY (GEYLANG) PTE. LTD.,PS20190000828
1ST JEWELLERY (PPC) PTE. LTD.,PS20190000260
2MOT HOLDING PTE. LTD.,PS20190001605
313 GREEN COLLECTION LLP,PS20190001770
33 CRYSTALS PTE. LTD.,PS20190001007
3N JEWELS PTE. LTD.,PS20190000721
4'C DIAMONDS PTE LTD,PS20190000655
4DOUBLEO PTE. LTD.,PS20190001317
57SOCIETY SINGAPORE PTE. LTD.,PS20190000901
9 LUCKY SHOP PTE. LTD.,PS20190001321
919 NINE ONE NINE,PS20190000221
A BRILLIANT CO SG (PRIVATE) LIMITED,PS20190001480
A JEWELLERY,PS20190000618
A R JEWELLERS PTE. LTD.,PS20190001773
A YSH LLP,PS20190001143
A.K WATCHES ENTERPRISE,PS20190000413
A.P. JEWELLERY PTE LTD,PS20190000420
AA GOLDSMITH PTE. LTD.,PS20190000282
AADYAA SINGAPORE,PS20190000038
ABARA PTE. LTD.,PS20190001380
ABIRAAME JEWELLERS,PS20190001279
ABIRAAME POPULAR JEWELLERS(S) PTE. LTD.,PS20190001165
ABIRRAME NAGAI KADAIS,PS20190001391
ABLE N TRUST (S),PS20190001144
ABSOLUT SILVER,PS20190001222
ABU GEMS,PS20190000802
ACTIVE JEWELLERY TRADER,PS20190000320
ADAH,PS20190000296
ADALINE & AGAMEMNON PTE. LTD.,PS20190000596
ADVANCE DIAMOND TRADING,PS20190000597
ADVENTURE GOLD ORNAMENTS MANUFACTURE AND RE EXPORTS PTE. LTD.,PS20190000779
AESTHETIC BAY PTE. LTD.,PS20190001637
AFGHAN MALAYA TRADING CO. PTE. LTD.,PS20190000488
AFRA GEMS,PS20190000299
AI JEWELLERY,PS20190000485
AICORP INTERNATIONAL PTE. LTD.,PS20190001664
AIK HONG GOLDSMITH,PS20190001359
AIK LEE JEWELLERY,PS20190001533
AINE JEWELLERY (S) PTE LTD,PS20190000733
AKJEWELS PTE. LTD.,PS20190001671
AKSHAYA JEWELLERS PTE. LTD.,PS20190001604
AL AKSA GEMS,PS20190000640
AL ARAB JEWELLERS PTE. LTD.,PS20190000691
AL ARAFATH JEWELLERS PTE. LTD.,PS20190000692
AL FINE GEMS,PS20190000705
ALADDIN'S JEWELS & APPARELS PTE. LTD.,PS20190001075
ALETA CHARM JEWELLERY AND DESIGN,PS20190001151
ALEX AND ANDREA,PS20190000039
ALEXANDRA ALBERTA PTE. LTD.,PS20190001757
ALEXON TRADING (S) PTE LTD,PS20190000951
ALICE CLAUDINE GROUP PTE. LTD.,PS20190000813
ALL ABOUT JADE,PS20190000014
ALL WATCHES PTE LTD,PS20190000727
ALPHA ARROW PTE. LTD.,PS20190000944
ALTO GIOIELLI,PS20190001729
AMANDA W. JEWELLERY,PS20190000356
AMAZON LEATHERS GOODS,PS20190001621
AMDIA PTE. LTD.,PS20190001735
AMETHYISM,PS20190001543
AMETRINE JEWELLERY (1996) PTE. LTD.,PS20190000300
AMULET CULTURE,PS20190001237
AMULETSPEDIA,PS20190001412
AMULETSTHAI,PS20190000903
AN ORDER OF BLING,PS20190000387
ANANDA SOUL PTE. LTD.,PS20190000923
ANGELAURORA LLP,PS20190001168
ANGIE JEWELLERY PTE LTD,PS20190000258
ANGLO PLATINUM MARKETING LIMITED SINGAPORE BRANCH,PS20190000898
ANI MANI PORCHALAI PTE LTD,PS20190000348
ANIDEA J,PS20190000471
ANITA MANGLANI JEWELRY PTE. LTD.,PS20190000021
ANK JEWELLERY PTE. LTD.,PS20190000630
ANN HWEE JEWELLERS & MANUFACTURERS,PS20190001135
ANROM TRADING,PS20190001307
ANSARI GEMS,PS20190000513
ANTEX INTERNATIONAL PTE LTD,PS20190000512
APERKY,PS20190000016
APJ JUWELLER PTE. LTD.,PS20190001711
APM RETAIL (SINGAPORE) PTE. LTD.,PS20190001431
APOLLO GOLDSMITHS PTE. LTD.,PS20190000005
APPLEBAY LEISURE,PS20190001425
ARGENTUM,PS20190000098
ARIELLE FINE WATCHES AND JEWELLERY PTE. LTD.,PS20190001204
ARIHANT JEWELLERS PTE. LTD.,PS20190000879
ARRAYA'S TREASURES,PS20190001102
ARROW ASIA PTE. LTD.,PS20190001791
ARTE ORO PTE. LTD.,PS20190001716
ARTEMIS RINGS PTE. LTD.,PS20190000664
ARTESA DIAMOND & GEMS,PS20190001209
ARTHESDAM JEWELLERY PTE LTD,PS20190001023
ARTISAN ARTELIER,PS20190001276
ARTISAN JEWELLERY (PTE.) LTD.,PS20190001216
ARYA IMPEX PTE. LTD.,PS20190000685
ASHOKA GLOBAL SG PTE. LTD.,PS20190000869
ASIA AFRICA DIAMOND AND JEWELLERY,PS20190000112
ASIA TIMEPIECE CENTRE,PS20190000146
ASIAN ARTISTRY FINE JEWELLERY PTE. LTD.,PS20190001038
ASIAN ARTS & CRAFTS,PS20190001484
ASIAN LEGENDS,PS20190001772
ASIATIQUE FINE JEWELLERY (S) PTE LTD,PS20190000115
ASK JEWELLERY PTE. LTD.,PS20190000177
ASPARA JEWELRY PTE. LTD.,PS20190000116
ASPIAL INTERNATIONAL PTE LTD,PS20190001471
ASPIAL-LEE HWA JEWELLERY PTE. LTD.,PS20190000326
ASPIAL-LEE HWA JEWELLERY SINGAPORE PTE. LTD.,PS20190001309
ASPORY PTE. LTD.,PS20190001741
ATELIER ONE PTE LTD,PS20190001291
ATHENA JEWELS & WATCHES PTE. LTD.,PS20190000167
AUAG INDUSTRIES,PS20190000198
AUCTUS METAL PORTFOLIOS PTE. LTD.,PS20190000803
AUDEMARS PIGUET (SINGAPORE) PTE LTD,PS20190001223
AURA IMAGE CONSULTANCY,PS20190000652
AUSTINMIMY GENERAL TRADERS PTE. LTD.,PS20190001052
AUTIUM PTE. LTD.,PS20190000617
AV PRECIOUS METAL PTE. LTD.,PS20190000267
AVILA CATHOLIC SHOP SINGAPORE,PS20190000941
AVYANNA PTE. LTD.,PS20190001563
AZEN,PS20190001068
B.J. DIAMONDS PTE. LTD.,PS20190000077
B.P. DE SILVA JEWELLERS PTE. LTD.,PS20190001149
BA TIME VENTURE,PS20190000273
BAABULMAS PTE LTD,PS20190000841
BABAA FARID G.S.R. GEMS & JEWELLER,PS20190000067
BACTERIA SECRET,PS20190001528
BAILONG (S) PTE LTD,PS20190001592
BALL WATCH SINGAPORE PTE. LTD.,PS20190001155
BALLY JEWELLERY (SINGAPORE) PTE. LTD.,PS20190000461
BALMO BALTANG FINE JEWELRY,PS20190000432
BAN CHEONG JEWELLERS (PRIVATE) LIMITED,PS20190000318
BAN FOOK JEWELLERY PTE. LTD.,PS20190000895
BANT INTERNATIONAL PTE. LTD.,PS20190001351
BAO HUA GU WAN YU QI HANG,PS20190000165
BAO JEWELLERY,PS20190000362
BAO SHENG JEWELLERY & ORNAMENTS PTE. LTD.,PS20190000680
BAOBAO,PS20190001110
BARAMEE PHRA,PS20190000908
BASS JEWELLERY PTE. LTD.,PS20190001493
BATU PAHAT GOLDSMITH PTE. LTD.,PS20190000155
BAVI GEMS PTE. LTD.,PS20190000516
BD LUXURY PTE. LTD.,PS20190000720
BEADS WORKSHOP,PS20190000999
BEADS.ETC LLP,PS20190001266
BEAU PTE. LTD.,PS20190000842
BEAUTIFUL DIAMOND PTE LTD,PS20190000956
BEAUTY WATCH PTE. LTD.,PS20190000557
BEAUTY WORLD NAM SENG GOLDSMITH,PS20190000870
BEJWL,PS20190000575
BELKIS,PS20190001311
BELKIS IMAN LLP,PS20190001750
BELLAGRAPH SG PTE. LTD.,PS20190000921
BELMONT JEWELLRY PTE. LTD.,PS20190000194
BELPEARL (S) PTE LTD,PS20190001732
BENLENE SINGAPORE,PS20190001540
BENNY DIAMOND,PS20190000530
BENNY'S GEMS CREATIONS CO PTE LTD,PS20190001386
BEZEL'S JEWELLERY,PS20190000703
